entity,day,training_computation_petaflop
VILA-13B,2023-12-12,2300313.5
VILA1.5-13B,2024-05-03,2300313.5
"Variational (untied weights, MC) LSTM (Large)",2015-12-16,5.886144
Vega v2,2022-12-04,77600000.0
ViT-22B,2023-02-10,193248000.0
ViT-G (model soup),2022-03-10,3400000.2
ViT-G/14,2021-06-08,58500000.0
ViT-Huge/14,2020-10-22,4262000.0
VideoMAE V2,2023-03-29,9700000.0
Visualizing CNNs,2013-11-12,532.0
Volcano 13B,2023-11-13,45600000.0
WeNet (Penn Treebank),2019-04-08,730.0
Weight Decay,1991-12-02,7.5474e-05
Whisper,2022-09-21,4207266.5
Word2Vec (large),2013-10-16,38.879997
XGLM-7.5B,2021-12-20,22500000.0
XLM-RoBERTa,2019-11-05,20760000.0
XLMR-XXL,2021-08-17,33660000.0
XLNet,2019-06-01,6190000.0
Xception,2016-10-07,436000.0
YOLOX-X,2021-08-06,634275.0
YOLOv3,2018-04-08,13416.381
Yi-34B,2023-11-02,610000060.0
Yi-Large,2024-05-13,1800000000.0
Yi-Lightning,2024-10-18,1500000000.0
Yuan 1.0,2021-10-12,353800030.0
Zidong Taichu,2021-08-11,801600.0
Zip CNN,1989-12-01,0.001496338
aLSTM(depth-2)+RecurrentPolicy (WT2),2018-05-22,72.96
base LM+GNN+kNN,2021-10-17,52587.457
eDiff-I,2022-11-02,54600.004
genCNN + dyn eval,2015-03-17,34.15345
gpt-oss-120b,2025-08-05,4940000000.0
gpt-oss-20b,2025-08-05,549000000.0
iCCCP,2010-06-13,1.08
mT5-XXL,2020-10-20,82000000.0
nekomata-14b,2023-12-21,255620000.0
trRosetta,2019-08-22,38047.97
wave2vec 2.0 LARGE,2020-10-22,3870720.0
xTrimoPGLM -100B,2023-07-06,620000000.0
